"Country or Area","Year","Item","Value"
"Japan","2015","Gross Domestic Product (GDP)","34628.7094536166"
"Jordan","2015","Gross Domestic Product (GDP)","4940.05301286994"
"Kazakhstan","2015","Gross Domestic Product (GDP)","10312.1366690943"
"Kenya","2015","Gross Domestic Product (GDP)","1376.72326842587"
"Kiribati","2015","Gross Domestic Product (GDP)","1442.86738821981"
"Kosovo","2015","Gross Domestic Product (GDP)","3664.77013962258"
"Kuwait","2015","Gross Domestic Product (GDP)","29303.8966851741"
"Kyrgyzstan","2015","Gross Domestic Product (GDP)","1106.37963771972"
"Lao People's Democratic Republic","2015","Gross Domestic Product (GDP)","1850.21382519137"
"Latvia","2015","Gross Domestic Product (GDP)","13704.1463231068"
"Lebanon","2015","Gross Domestic Product (GDP)","8571.37009018664"
"Lesotho","2015","Gross Domestic Product (GDP)","940.596524086011"
"Liberia","2015","Gross Domestic Product (GDP)","455.873934536237"
"Libya","2015","Gross Domestic Product (GDP)","5488.16828506271"
"Liechtenstein","2015","Gross Domestic Product (GDP)","169491.80955394"
"Lithuania","2015","Gross Domestic Product (GDP)","14383.6680898641"
"Luxembourg","2015","Gross Domestic Product (GDP)","100160.83556209"
"Madagascar","2015","Gross Domestic Product (GDP)","401.836001463694"
"Malawi","2015","Gross Domestic Product (GDP)","372.914241418543"
"Malaysia","2015","Gross Domestic Product (GDP)","9768.36841138141"
"Maldives","2015","Gross Domestic Product (GDP)","9446.4524527981"
"Mali","2015","Gross Domestic Product (GDP)","744.346096636929"
"Malta","2015","Gross Domestic Product (GDP)","23280.6804337805"
"Marshall Islands","2015","Gross Domestic Product (GDP)","3452.58181269224"
"Mauritania","2015","Gross Domestic Product (GDP)","1234.99991396683"
"Mauritius","2015","Gross Domestic Product (GDP)","9040.87634843459"
"Mexico","2015","Gross Domestic Product (GDP)","8980.86215568429"
"Micronesia (Federated States of)","2015","Gross Domestic Product (GDP)","3015.23071031974"
"Monaco","2015","Gross Domestic Product (GDP)","165870.605914082"
"Mongolia","2015","Gross Domestic Product (GDP)","3973.43990084485"
"Montenegro","2015","Gross Domestic Product (GDP)","6424.08775710508"
"Montserrat","2015","Gross Domestic Product (GDP)","11553.3875338753"
"Morocco","2015","Gross Domestic Product (GDP)","2919.32275530741"
"Mozambique","2015","Gross Domestic Product (GDP)","529.211609852332"
"Myanmar","2015","Gross Domestic Product (GDP)","1161.4832340637"
"Namibia","2015","Gross Domestic Product (GDP)","4673.55593497493"
"Nauru","2015","Gross Domestic Product (GDP)","18469.2190352661"
"Nepal","2015","Gross Domestic Product (GDP)","724.506419334003"
"Netherlands","2015","Gross Domestic Product (GDP)","44332.1243359755"
"New Caledonia","2015","Gross Domestic Product (GDP)","33965.6714246991"
"New Zealand","2015","Gross Domestic Product (GDP)","38294.2599628371"
"Nicaragua","2015","Gross Domestic Product (GDP)","2086.8915619448"
"Niger","2015","Gross Domestic Product (GDP)","358.958147487355"
"Nigeria","2015","Gross Domestic Product (GDP)","2714.4746330941"
"Norway","2015","Gross Domestic Product (GDP)","74185.5482355888"
"Oman","2015","Gross Domestic Product (GDP)","15550.8500020055"
"Pakistan","2015","Gross Domestic Product (GDP)","1410.39271979117"
"Palau","2015","Gross Domestic Product (GDP)","12122.4930721901"
"Panama","2015","Gross Domestic Product (GDP)","13268.1137548894"
"Papua New Guinea","2015","Gross Domestic Product (GDP)","2797.55333403895"
"Paraguay","2015","Gross Domestic Product (GDP)","4174.3640336939"
"Peru","2015","Gross Domestic Product (GDP)","6069.09132427143"
"Philippines","2015","Gross Domestic Product (GDP)","2904.17945325133"
"Poland","2015","Gross Domestic Product (GDP)","12355.4594338955"
"Portugal","2015","Gross Domestic Product (GDP)","19239.1764751803"
"Puerto Rico","2015","Gross Domestic Product (GDP)","27939.0036701402"
"Qatar","2015","Gross Domestic Product (GDP)","73653.3944346574"
"Republic of Korea","2015","Gross Domestic Product (GDP)","27396.6788443588"
"Republic of Moldova","2015","Gross Domestic Product (GDP)","1591.35761751443"
"Romania","2015","Gross Domestic Product (GDP)","9120.65069024344"
"Russian Federation","2015","Gross Domestic Product (GDP)","9243.30477838838"
"Rwanda","2015","Gross Domestic Product (GDP)","697.348219477715"
"Saint Kitts and Nevis","2015","Gross Domestic Product (GDP)","15771.9455907718"
"Saint Lucia","2015","Gross Domestic Product (GDP)","7839.37613876992"
"Saint Vincent and the Grenadines","2015","Gross Domestic Product (GDP)","6739.1747448971"
"Samoa","2015","Gross Domestic Product (GDP)","4005.99910672509"
"San Marino","2015","Gross Domestic Product (GDP)","49240.1741310383"
"Sao Tome and Principe","2015","Gross Domestic Product (GDP)","1752.77110818947"
"Saudi Arabia","2015","Gross Domestic Product (GDP)","20710.5764936867"
"Senegal","2015","Gross Domestic Product (GDP)","901.071273341967"
"Serbia","2015","Gross Domestic Product (GDP)","5238.56831674703"
"Seychelles","2015","Gross Domestic Product (GDP)","14133.1599180329"
"Sierra Leone","2015","Gross Domestic Product (GDP)","694.757624946481"
"Singapore","2015","Gross Domestic Product (GDP)","52239.0245780046"
"Sint Maarten (Dutch part)","2015","Gross Domestic Product (GDP)","28241.6788181715"
"Slovakia","2015","Gross Domestic Product (GDP)","16082.4630506324"
"Slovenia","2015","Gross Domestic Product (GDP)","20689.8183243622"
"Solomon Islands","2015","Gross Domestic Product (GDP)","1841.63736804813"
"Somalia","2015","Gross Domestic Product (GDP)","144.545663035739"
"South Africa","2015","Gross Domestic Product (GDP)","5772.96453656481"
"South Sudan","2015","Gross Domestic Product (GDP)","1067.04469719275"
"Spain","2015","Gross Domestic Product (GDP)","25865.384548961"
"Sri Lanka","2015","Gross Domestic Product (GDP)","3973.74486570485"
"State of Palestine","2015","Gross Domestic Product (GDP)","2715.53868015747"
"Sudan","2015","Gross Domestic Product (GDP)","1977.03616995812"
"Suriname","2015","Gross Domestic Product (GDP)","8985.33809331831"
"Swaziland","2015","Gross Domestic Product (GDP)","3211.69443321909"
"Sweden","2015","Gross Domestic Product (GDP)","50687.469449797"
"Switzerland","2015","Gross Domestic Product (GDP)","80831.084333691"
"Syrian Arab Republic","2015","Gross Domestic Product (GDP)","1534.54399135164"
"Tajikistan","2015","Gross Domestic Product (GDP)","925.90938376481"
"Thailand","2015","Gross Domestic Product (GDP)","5814.77003356402"
"The former Yugoslav Republic of Macedonia","2015","Gross Domestic Product (GDP)","4836.12748805247"
"Timor-Leste","2015","Gross Domestic Product (GDP)","2425.36570712335"
"Togo","2015","Gross Domestic Product (GDP)","559.371523791642"
"Tonga","2015","Gross Domestic Product (GDP)","3784.48458888022"
"Trinidad and Tobago","2015","Gross Domestic Product (GDP)","19062.8993041606"
"Tunisia","2015","Gross Domestic Product (GDP)","3660.93419728013"
"Turkey","2015","Gross Domestic Product (GDP)","9125.7909355656"
"Turkmenistan","2015","Gross Domestic Product (GDP)","6996.74198269817"
"Turks and Caicos Islands","2015","Gross Domestic Product (GDP)","25121.7924226099"
"Tuvalu","2015","Gross Domestic Product (GDP)","3362.37039786193"
"Uganda","2015","Gross Domestic Product (GDP)","647.715663304539"
"Ukraine","2015","Gross Domestic Product (GDP)","2021.58458995871"
"United Arab Emirates","2015","Gross Domestic Product (GDP)","40438.7715000363"
"United Kingdom of Great Britain and Northern Ireland","2015","Gross Domestic Product (GDP)","44162.3629212969"
"United Republic of Tanzania: Mainland","2015","Gross Domestic Product (GDP)","877.303804467271"
"United Republic of Tanzania: Zanzibar","2015","Gross Domestic Product (GDP)","793.517450343251"
"United States of America","2015","Gross Domestic Product (GDP)","56053.8411551815"
"Uruguay","2015","Gross Domestic Product (GDP)","15573.8085056085"
"Uzbekistan","2015","Gross Domestic Product (GDP)","2308.3320957866"
"Vanuatu","2015","Gross Domestic Product (GDP)","2783.01445847841"
"Venezuela (Bolivarian Republic of)","2015","Gross Domestic Product (GDP)","11068.8721551596"
"Viet Nam","2015","Gross Domestic Product (GDP)","2067.90886957744"
"Yemen","2015","Gross Domestic Product (GDP)","1106.41571611989"
"Zambia","2015","Gross Domestic Product (GDP)","1311.09899500042"
"Zimbabwe","2015","Gross Domestic Product (GDP)","890.421575656754"

