"Country or Area","Year(s)","Variant","Value"
"Aruba","2017","Constant fertility","105.235"
"Aruba","2017","Instant replacement","105.567"
"Aruba","2017","Zero migration","104.794"
"Aruba","2017","Constant mortality","105.155"
"Aruba","2017","No change","105.167"
"Aruba","2017","Momentum","105.161"
"Asia","2017","Medium","4504428.373"
"Asia","2017","High","4517156.425"
"Asia","2017","Low","4491462.809"
"Asia","2017","Constant fertility","4508849.207"
"Asia","2017","Instant replacement","4507808.373"
"Asia","2017","Zero migration","4507731.549"
"Asia","2017","Constant mortality","4501445.044"
"Asia","2017","No change","4505909.210"
"Asia","2017","Momentum","4508483.957"
"Australia","2017","Medium","24450.561"
"Australia","2017","High","24521.799"
"Australia","2017","Low","24395.739"
"Australia","2017","Constant fertility","24473.797"
"Australia","2017","Instant replacement","24514.378"
"Australia","2017","Zero migration","24091.481"
"Australia","2017","Constant mortality","24445.249"
"Australia","2017","No change","24460.180"
"Australia","2017","Momentum","24213.979"
"Australia/New Zealand","2017","Medium","29156.379"
"Australia/New Zealand","2017","High","29238.554"
"Australia/New Zealand","2017","Low","29089.582"
"Australia/New Zealand","2017","Constant fertility","29181.991"
"Australia/New Zealand","2017","Instant replacement","29224.821"
"Australia/New Zealand","2017","Zero migration","28763.737"
"Australia/New Zealand","2017","Constant mortality","29147.481"
"Australia/New Zealand","2017","No change","29165.286"
"Australia/New Zealand","2017","Momentum","28896.168"
"Austria","2017","Medium","8735.453"
"Austria","2017","High","8739.758"
"Austria","2017","Low","8697.584"
"Austria","2017","Constant fertility","8713.597"
"Austria","2017","Instant replacement","8786.058"
"Austria","2017","Zero migration","8677.872"
"Austria","2017","Constant mortality","8712.173"
"Austria","2017","No change","8707.078"
"Austria","2017","Momentum","8746.235"
"Azerbaijan","2017","Medium","9827.589"
"Azerbaijan","2017","High","9862.535"
"Azerbaijan","2017","Low","9798.761"
"Azerbaijan","2017","Constant fertility","9839.418"
"Azerbaijan","2017","Instant replacement","9848.283"
"Azerbaijan","2017","Zero migration","9830.749"
"Azerbaijan","2017","Constant mortality","9827.555"
"Azerbaijan","2017","No change","9836.218"
"Azerbaijan","2017","Momentum","9846.285"
"Bahamas","2017","Medium","395.361"
"Bahamas","2017","High","396.188"
"Bahamas","2017","Low","393.865"
"Bahamas","2017","Constant fertility","395.334"
"Bahamas","2017","Instant replacement","397.104"
"Bahamas","2017","Zero migration","392.964"
"Bahamas","2017","Constant mortality","394.845"
"Bahamas","2017","No change","395.158"
"Bahamas","2017","Momentum","395.279"
"Bahrain","2017","Medium","1492.584"
"Bahrain","2017","High","1535.034"
"Bahrain","2017","Low","1527.134"
"Bahrain","2017","Constant fertility","1532.910"
"Bahrain","2017","Instant replacement","1493.361"
"Bahrain","2017","Zero migration","1405.918"
"Bahrain","2017","Constant mortality","1530.763"
"Bahrain","2017","No change","1532.568"
"Bahrain","2017","Momentum","1406.262"
"Bangladesh","2017","Medium","164669.751"
"Bangladesh","2017","High","165086.569"
"Bangladesh","2017","Low","164029.148"
"Bangladesh","2017","Constant fertility","164849.716"
"Bangladesh","2017","Instant replacement","164803.666"
"Bangladesh","2017","Zero migration","165676.055"
"Bangladesh","2017","Constant mortality","164429.953"
"Bangladesh","2017","No change","164719.377"
"Bangladesh","2017","Momentum","165552.994"
"Barbados","2017","Medium","285.719"
"Barbados","2017","High","286.414"
"Barbados","2017","Low","285.000"
"Barbados","2017","Constant fertility","285.663"
"Barbados","2017","Instant replacement","286.524"
"Barbados","2017","Zero migration","284.757"
"Barbados","2017","Constant mortality","285.475"
"Barbados","2017","No change","285.437"
"Barbados","2017","Momentum","285.621"
"Belarus","2017","Medium","9468.338"
"Belarus","2017","High","9486.028"
"Belarus","2017","Low","9435.023"
"Belarus","2017","Constant fertility","9453.513"
"Belarus","2017","Instant replacement","9508.535"
"Belarus","2017","Zero migration","9456.437"
"Belarus","2017","Constant mortality","9449.880"
"Belarus","2017","No change","9442.826"
"Belarus","2017","Momentum","9495.825"
"Belgium","2017","Medium","11429.336"
"Belgium","2017","High","11472.150"
"Belgium","2017","Low","11417.509"
"Belgium","2017","Constant fertility","11442.618"
"Belgium","2017","Instant replacement","11460.359"
"Belgium","2017","Zero migration","11324.260"
"Belgium","2017","Constant mortality","11433.877"
"Belgium","2017","No change","11431.629"
"Belgium","2017","Momentum","11364.779"
"Belize","2017","Medium","374.681"
"Belize","2017","High","375.854"
"Belize","2017","Low","373.491"
"Belize","2017","Constant fertility","375.491"
"Belize","2017","Instant replacement","372.583"
"Belize","2017","Zero migration","371.732"
"Belize","2017","Constant mortality","374.495"
"Belize","2017","No change","375.301"
"Belize","2017","Momentum","370.125"
"Benin","2017","Medium","11175.692"
"Benin","2017","High","11204.950"
"Benin","2017","Low","11150.349"
"Benin","2017","Constant fertility","11211.561"
"Benin","2017","Instant replacement","10867.951"
"Benin","2017","Zero migration","11181.877"
"Benin","2017","Constant mortality","11166.988"
"Benin","2017","No change","11200.812"
"Benin","2017","Momentum","10867.549"
"Bermuda","2017","Medium","61.349"
"Bermuda","2017","High","61.419"
"Bermuda","2017","Low","61.161"
"Bermuda","2017","Constant fertility","61.321"
"Bermuda","2017","Instant replacement","61.632"
"Bermuda","2017","Zero migration","61.893"
"Bermuda","2017","Constant mortality","61.240"
"Bermuda","2017","No change","61.268"
"Bermuda","2017","Momentum","61.974"
"Bhutan","2017","Medium","807.610"
"Bhutan","2017","High","809.557"
"Bhutan","2017","Low","804.459"
"Bhutan","2017","Constant fertility","808.811"
"Bhutan","2017","Instant replacement","809.092"
"Bhutan","2017","Zero migration","807.009"
"Bhutan","2017","Constant mortality","806.221"
"Bhutan","2017","No change","808.013"
"Bhutan","2017","Momentum","808.686"
"Bolivia (Plurinational State of)","2017","Medium","11051.600"
"Bolivia (Plurinational State of)","2017","High","11082.904"
"Bolivia (Plurinational State of)","2017","Low","11021.008"
"Bolivia (Plurinational State of)","2017","Constant fertility","11076.555"
"Bolivia (Plurinational State of)","2017","Instant replacement","10969.301"
"Bolivia (Plurinational State of)","2017","Zero migration","11073.827"
"Bolivia (Plurinational State of)","2017","Constant mortality","11041.196"
"Bolivia (Plurinational State of)","2017","No change","11065.637"
"Bolivia (Plurinational State of)","2017","Momentum","10982.123"
"Bosnia and Herzegovina","2017","Medium","3507.017"
"Bosnia and Herzegovina","2017","High","3529.533"
"Bosnia and Herzegovina","2017","Low","3512.006"
"Bosnia and Herzegovina","2017","Constant fertility","3518.480"
"Bosnia and Herzegovina","2017","Instant replacement","3533.345"
"Bosnia and Herzegovina","2017","Zero migration","3521.799"
"Bosnia and Herzegovina","2017","Constant mortality","3517.160"
"Bosnia and Herzegovina","2017","No change","3514.862"
"Bosnia and Herzegovina","2017","Momentum","3530.907"
"Botswana","2017","Medium","2291.661"
"Botswana","2017","High","2299.450"
"Botswana","2017","Low","2285.413"
"Botswana","2017","Constant fertility","2298.404"
"Botswana","2017","Instant replacement","2276.322"
"Botswana","2017","Zero migration","2286.265"
"Botswana","2017","Constant mortality","2283.233"
"Botswana","2017","No change","2289.155"
"Botswana","2017","Momentum","2265.736"
"Brazil","2017","Medium","209288.278"
"Brazil","2017","High","209919.472"
"Brazil","2017","Low","208654.170"
"Brazil","2017","Constant fertility","209465.818"
"Brazil","2017","Instant replacement","210311.129"
"Brazil","2017","Zero migration","209277.078"
"Brazil","2017","Constant mortality","209158.741"
"Brazil","2017","No change","209336.078"
"Brazil","2017","Momentum","210193.253"
"British Virgin Islands","2017","Medium","31.196"
"British Virgin Islands","2017","High","31.378"
"British Virgin Islands","2017","Low","31.218"
"British Virgin Islands","2017","Constant fertility","31.319"
"British Virgin Islands","2017","Instant replacement","31.203"
"British Virgin Islands","2017","Zero migration","30.775"
"British Virgin Islands","2017","Constant mortality","31.281"
"British Virgin Islands","2017","No change","31.305"
"British Virgin Islands","2017","Momentum","30.848"
"Brunei Darussalam","2017","Medium","428.697"
"Brunei Darussalam","2017","High","429.953"
"Brunei Darussalam","2017","Low","427.269"
"Brunei Darussalam","2017","Constant fertility","428.837"
"Brunei Darussalam","2017","Instant replacement","430.007"
"Brunei Darussalam","2017","Zero migration","427.889"
"Brunei Darussalam","2017","Constant mortality","428.465"
"Brunei Darussalam","2017","No change","428.693"
"Brunei Darussalam","2017","Momentum","429.302"
"Bulgaria","2017","Medium","7084.571"
"Bulgaria","2017","High","7098.768"
"Bulgaria","2017","Low","7066.600"
"Bulgaria","2017","Constant fertility","7076.867"
"Bulgaria","2017","Instant replacement","7118.475"
"Bulgaria","2017","Zero migration","7092.635"
"Bulgaria","2017","Constant mortality","7075.722"
"Bulgaria","2017","No change","7069.889"
"Bulgaria","2017","Momentum","7120.357"
"Burkina Faso","2017","Medium","19193.382"
"Burkina Faso","2017","High","19239.987"
"Burkina Faso","2017","Low","19147.487"
"Burkina Faso","2017","Constant fertility","19259.770"
"Burkina Faso","2017","Instant replacement","18596.729"
"Burkina Faso","2017","Zero migration","19245.826"
"Burkina Faso","2017","Constant mortality","19162.911"
"Burkina Faso","2017","No change","19228.835"
"Burkina Faso","2017","Momentum","18627.215"
"Burundi","2017","Medium","10864.245"
"Burundi","2017","High","10904.487"
"Burundi","2017","Low","10852.233"
"Burundi","2017","Constant fertility","10909.368"
"Burundi","2017","Instant replacement","10492.301"
"Burundi","2017","Zero migration","10867.990"
"Burundi","2017","Constant mortality","10862.690"
"Burundi","2017","No change","10893.599"
"Burundi","2017","Momentum","10479.724"
"Cabo Verde","2017","Medium","546.388"
"Cabo Verde","2017","High","548.315"
"Cabo Verde","2017","Low","544.815"
"Cabo Verde","2017","Constant fertility","547.887"
"Cabo Verde","2017","Instant replacement","544.712"
"Cabo Verde","2017","Zero migration","549.724"
"Cabo Verde","2017","Constant mortality","546.282"
"Cabo Verde","2017","No change","547.595"
"Cabo Verde","2017","Momentum","547.038"
"Cambodia","2017","Medium","16005.373"
"Cambodia","2017","High","16035.902"
"Cambodia","2017","Low","15935.182"
"Cambodia","2017","Constant fertility","16036.814"
"Cambodia","2017","Instant replacement","15917.226"
"Cambodia","2017","Zero migration","16071.973"
"Cambodia","2017","Constant mortality","15993.578"
"Cambodia","2017","No change","16020.147"
"Cambodia","2017","Momentum","15958.315"
"Cameroon","2017","Medium","24053.727"
"Cameroon","2017","High","24116.089"
"Cameroon","2017","Low","23992.330"
"Cameroon","2017","Constant fertility","24142.028"
"Cameroon","2017","Instant replacement","23439.693"
"Cameroon","2017","Zero migration","24064.258"
"Cameroon","2017","Constant mortality","24012.563"
"Cameroon","2017","No change","24100.003"
"Cameroon","2017","Momentum","23430.518"
"Canada","2017","Medium","36624.199"
"Canada","2017","High","36707.468"
"Canada","2017","Low","36525.005"
"Canada","2017","Constant fertility","36636.310"
"Canada","2017","Instant replacement","36823.834"
"Canada","2017","Zero migration","36167.121"
"Canada","2017","Constant mortality","36589.897"
"Canada","2017","No change","36609.848"
"Canada","2017","Momentum","36436.169"
"Caribbean","2017","Medium","43883.319"
"Caribbean","2017","High","43994.642"
"Caribbean","2017","Low","43752.774"
"Caribbean","2017","Constant fertility","43932.557"
"Caribbean","2017","Instant replacement","43853.086"
"Caribbean","2017","Zero migration","44135.300"
"Caribbean","2017","Constant mortality","43845.048"
"Caribbean","2017","No change","43903.565"
"Caribbean","2017","Momentum","44040.042"
"Caribbean Netherlands","2017","Medium","25.398"
"Caribbean Netherlands","2017","High","25.406"
"Caribbean Netherlands","2017","Low","25.279"
"Caribbean Netherlands","2017","Constant fertility","25.355"
"Caribbean Netherlands","2017","Instant replacement","25.457"
"Caribbean Netherlands","2017","Zero migration","24.833"
"Caribbean Netherlands","2017","Constant mortality","25.333"
"Caribbean Netherlands","2017","No change","25.350"
"Caribbean Netherlands","2017","Momentum","25.074"
"Cayman Islands","2017","Medium","61.559"
"Cayman Islands","2017","High","61.714"
"Cayman Islands","2017","Low","61.402"
"Cayman Islands","2017","Constant fertility","61.549"
"Cayman Islands","2017","Instant replacement","61.710"
"Cayman Islands","2017","Zero migration","60.736"
"Cayman Islands","2017","Constant mortality","61.529"
"Cayman Islands","2017","No change","61.520"
"Cayman Islands","2017","Momentum","61.025"
"Central African Republic","2017","Medium","4659.080"
"Central African Republic","2017","High","4675.053"
"Central African Republic","2017","Low","4652.727"
"Central African Republic","2017","Constant fertility","4676.751"
"Central African Republic","2017","Instant replacement","4549.395"
"Central African Republic","2017","Zero migration","4751.877"
"Central African Republic","2017","Constant mortality","4647.569"
"Central African Republic","2017","No change","4660.355"
"Central African Republic","2017","Momentum","4599.177"
"Chad","2017","Medium","14899.994"
"Chad","2017","High","14927.183"
"Chad","2017","Low","14858.132"
"Chad","2017","Constant fertility","14962.868"
"Chad","2017","Instant replacement","14395.746"
"Chad","2017","Zero migration","14887.204"
"Chad","2017","Constant mortality","14871.362"
"Chad","2017","No change","14941.689"
"Chad","2017","Momentum","14385.202"
"Channel Islands","2017","Medium","165.314"
"Channel Islands","2017","High","165.705"
"Channel Islands","2017","Low","164.923"
"Channel Islands","2017","Constant fertility","165.262"
"Channel Islands","2017","Instant replacement","166.301"
"Channel Islands","2017","Zero migration","163.815"
"Channel Islands","2017","Constant mortality","165.191"
"Channel Islands","2017","No change","165.132"
"Channel Islands","2017","Momentum","164.965"
"Chile","2017","Medium","18054.726"
"Chile","2017","High","18104.928"
"Chile","2017","Low","18005.161"
"Chile","2017","Constant fertility","18066.753"
"Chile","2017","Instant replacement","18117.647"
"Chile","2017","Zero migration","18019.883"
"Chile","2017","Constant mortality","18043.055"
"Chile","2017","No change","18054.659"
"Chile","2017","Momentum","18078.354"
"China","2017","Medium","1409517.397"
"China","2017","High","1413681.516"
"China","2017","Low","1405719.904"
"China","2017","Constant fertility","1409467.883"
"China","2017","Instant replacement","1418485.535"
"China","2017","Zero migration","1410380.370"
"China","2017","Constant mortality","1408810.354"
"China","2017","No change","1408567.756"
"China","2017","Momentum","1418279.549"
"China Hong Kong SAR","2017","Medium","7364.883"
"China Hong Kong SAR","2017","High","7402.851"
"China Hong Kong SAR","2017","Low","7356.554"
"China Hong Kong SAR","2017","Constant fertility","7367.756"
"China Hong Kong SAR","2017","Instant replacement","7440.765"
"China Hong Kong SAR","2017","Zero migration","7305.123"
"China Hong Kong SAR","2017","Constant mortality","7375.083"
"China Hong Kong SAR","2017","No change","7363.132"
"China Hong Kong SAR","2017","Momentum","7379.535"
"China Macao SAR","2017","Medium","622.567"
"China Macao SAR","2017","High","623.278"
"China Macao SAR","2017","Low","619.022"
"China Macao SAR","2017","Constant fertility","619.981"
"China Macao SAR","2017","Instant replacement","629.200"
"China Macao SAR","2017","Zero migration","610.966"
"China Macao SAR","2017","Constant mortality","620.883"
"China Macao SAR","2017","No change","619.722"
"China Macao SAR","2017","Momentum","620.624"
"China Taiwan Province of China","2017","Medium","23626.456"
"China Taiwan Province of China","2017","High","23699.128"
"China Taiwan Province of China","2017","Low","23563.311"
"China Taiwan Province of China","2017","Constant fertility","23595.107"
"China Taiwan Province of China","2017","Instant replacement","23877.275"
"China Taiwan Province of China","2017","Zero migration","23565.231"
"China Taiwan Province of China","2017","Constant mortality","23614.280"
"China Taiwan Province of China","2017","No change","23578.148"
"China Taiwan Province of China","2017","Momentum","23809.728"
"Cô´te d'Ivoire","2017","Medium","24294.750"
"Cô´te d'Ivoire","2017","High","24349.611"
"Cô´te d'Ivoire","2017","Low","24229.193"
"Cô´te d'Ivoire","2017","Constant fertility","24356.682"
"Cô´te d'Ivoire","2017","Instant replacement","23657.646"
"Cô´te d'Ivoire","2017","Zero migration","24276.923"
"Cô´te d'Ivoire","2017","Constant mortality","24233.720"
"Cô´te d'Ivoire","2017","No change","24300.461"
"Cô´te d'Ivoire","2017","Momentum","23628.006"
"Colombia","2017","Medium","49065.615"
"Colombia","2017","High","49215.048"
"Colombia","2017","Low","48921.032"
"Colombia","2017","Constant fertility","49126.300"
"Colombia","2017","Instant replacement","49234.189"
"Colombia","2017","Zero migration","49128.925"
"Colombia","2017","Constant mortality","49045.274"
"Colombia","2017","No change","49103.094"
"Colombia","2017","Momentum","49265.468"
"Comoros","2017","Medium","813.912"
"Comoros","2017","High","816.004"
"Comoros","2017","Low","811.842"
"Comoros","2017","Constant fertility","816.630"
"Comoros","2017","Instant replacement","795.638"
"Comoros","2017","Zero migration","818.044"
"Comoros","2017","Constant mortality","813.334"
"Comoros","2017","No change","816.036"
"Comoros","2017","Momentum","798.643"
"Congo","2017","Medium","5260.750"
"Congo","2017","High","5278.214"
"Congo","2017","Low","5251.395"
"Congo","2017","Constant fertility","5278.830"
"Congo","2017","Instant replacement","5121.725"
"Congo","2017","Zero migration","5274.982"
"Congo","2017","Constant mortality","5255.286"
"Congo","2017","No change","5269.216"
"Congo","2017","Momentum","5124.382"
"Cook Islands","2017","Medium","17.380"
"Cook Islands","2017","High","17.499"
"Cook Islands","2017","Low","17.397"
"Cook Islands","2017","Constant fertility","17.480"
"Cook Islands","2017","Instant replacement","17.372"
"Cook Islands","2017","Zero migration","17.814"
"Cook Islands","2017","Constant mortality","17.433"
"Cook Islands","2017","No change","17.464"
"Cook Islands","2017","Momentum","17.638"
"Costa Rica","2017","Medium","4905.769"
"Costa Rica","2017","High","4920.747"
"Costa Rica","2017","Low","4891.786"
"Costa Rica","2017","Constant fertility","4911.179"
"Costa Rica","2017","Instant replacement","4924.646"
"Costa Rica","2017","Zero migration","4899.276"
"Costa Rica","2017","Constant mortality","4903.558"
"Costa Rica","2017","No change","4908.432"
"Costa Rica","2017","Momentum","4916.710"
"Croatia","2017","Medium","4189.353"
"Croatia","2017","High","4197.312"
"Croatia","2017","Low","4176.874"
"Croatia","2017","Constant fertility","4188.738"
"Croatia","2017","Instant replacement","4215.637"
"Croatia","2017","Zero migration","4206.332"
"Croatia","2017","Constant mortality","4182.007"
"Croatia","2017","No change","4183.642"
"Croatia","2017","Momentum","4225.507"
"Cuba","2017","Medium","11484.636"
"Cuba","2017","High","11501.680"
"Cuba","2017","Low","11447.434"
"Cuba","2017","Constant fertility","11474.667"
"Cuba","2017","Instant replacement","11526.034"
"Cuba","2017","Zero migration","11526.533"
"Cuba","2017","Constant mortality","11466.405"
"Cuba","2017","No change","11466.453"
"Cuba","2017","Momentum","11557.480"
"Curaçao","2017","Medium","160.539"
"Curaçao","2017","High","160.648"
"Curaçao","2017","Low","159.918"
"Curaçao","2017","Constant fertility","160.346"
"Curaçao","2017","Instant replacement","160.632"
"Curaçao","2017","Zero migration","159.237"
"Curaçao","2017","Constant mortality","160.172"
"Curaçao","2017","No change","160.235"
"Curaçao","2017","Momentum","159.677"
"Cyprus","2017","Medium","1179.551"
"Cyprus","2017","High","1184.100"
"Cyprus","2017","Low","1176.833"
"Cyprus","2017","Constant fertility","1181.210"
"Cyprus","2017","Instant replacement","1190.709"
"Cyprus","2017","Zero migration","1170.292"
"Cyprus","2017","Constant mortality","1179.658"
"Cyprus","2017","No change","1180.396"
"Cyprus","2017","Momentum","1182.347"
"Czechia","2017","Medium","10618.303"
"Czechia","2017","High","10646.398"
"Czechia","2017","Low","10592.609"
"Czechia","2017","Constant fertility","10608.680"
"Czechia","2017","Instant replacement","10675.143"
"Czechia","2017","Zero migration","10595.027"
"Czechia","2017","Constant mortality","10609.120"
"Czechia","2017","No change","10598.278"
"Czechia","2017","Momentum","10645.674"
"Dem. People's Republic of Korea","2017","Medium","25490.965"
"Dem. People's Republic of Korea","2017","High","25556.906"
"Dem. People's Republic of Korea","2017","Low","25422.530"
"Dem. People's Republic of Korea","2017","Constant fertility","25505.912"
"Dem. People's Republic of Korea","2017","Instant replacement","25558.657"
"Dem. People's Republic of Korea","2017","Zero migration","25494.080"
"Dem. People's Republic of Korea","2017","Constant mortality","25468.015"
"Dem. People's Republic of Korea","2017","No change","25484.092"
"Dem. People's Republic of Korea","2017","Momentum","25545.331"
"Democratic Republic of the Congo","2017","Medium","81339.988"
"Democratic Republic of the Congo","2017","High","81549.261"
"Democratic Republic of the Congo","2017","Low","81181.285"
"Democratic Republic of the Congo","2017","Constant fertility","81611.350"
"Democratic Republic of the Congo","2017","Instant replacement","78368.225"
"Democratic Republic of the Congo","2017","Zero migration","81297.162"
"Democratic Republic of the Congo","2017","Constant mortality","81239.977"
"Democratic Republic of the Congo","2017","No change","81486.637"
"Democratic Republic of the Congo","2017","Momentum","78273.687"
"Denmark","2017","Medium","5733.551"
"Denmark","2017","High","5742.224"
"Denmark","2017","Low","5717.181"
"Denmark","2017","Constant fertility","5728.117"
"Denmark","2017","Instant replacement","5750.528"
"Denmark","2017","Zero migration","5698.453"
"Denmark","2017","Constant mortality","5725.035"
"Denmark","2017","No change","5723.435"
"Denmark","2017","Momentum","5720.782"
"Djibouti","2017","Medium","956.985"
"Djibouti","2017","High","959.278"
"Djibouti","2017","Low","954.024"
"Djibouti","2017","Constant fertility","960.258"
"Djibouti","2017","Instant replacement","951.884"
"Djibouti","2017","Zero migration","954.770"
"Djibouti","2017","Constant mortality","956.069"
"Djibouti","2017","No change","959.669"
"Djibouti","2017","Momentum","950.158"
"Dominica","2017","Medium","73.925"
"Dominica","2017","High","74.132"
"Dominica","2017","Low","73.701"
"Dominica","2017","Constant fertility","73.967"
"Dominica","2017","Instant replacement","74.103"
"Dominica","2017","Zero migration","74.338"
"Dominica","2017","Constant mortality","73.864"
"Dominica","2017","No change","73.924"
"Dominica","2017","Momentum","74.394"
"Dominican Republic","2017","Medium","10766.998"
"Dominican Republic","2017","High","10798.980"
"Dominican Republic","2017","Low","10734.256"
"Dominican Republic","2017","Constant fertility","10784.713"
"Dominican Republic","2017","Instant replacement","10728.696"
"Dominican Republic","2017","Zero migration","10830.129"
"Dominican Republic","2017","Constant mortality","10761.769"
"Dominican Republic","2017","No change","10779.750"
"Dominican Republic","2017","Momentum","10776.164"
"Ecuador","2017","Medium","16624.858"
"Ecuador","2017","High","16673.956"
"Ecuador","2017","Low","16576.994"
"Ecuador","2017","Constant fertility","16650.908"
"Ecuador","2017","Instant replacement","16552.961"
"Ecuador","2017","Zero migration","16639.113"
"Ecuador","2017","Constant mortality","16616.472"
"Ecuador","2017","No change","16641.740"
"Ecuador","2017","Momentum","16557.229"
"Egypt","2017","Medium","97553.151"
"Egypt","2017","High","97843.543"
"Egypt","2017","Low","97269.637"
"Egypt","2017","Constant fertility","97796.808"
"Egypt","2017","Instant replacement","96260.130"
"Egypt","2017","Zero migration","97673.338"
"Egypt","2017","Constant mortality","97508.043"
"Egypt","2017","No change","97746.693"
"Egypt","2017","Momentum","96325.988"
"El Salvador","2017","Medium","6377.853"
"El Salvador","2017","High","6398.271"
"El Salvador","2017","Low","6356.724"
"El Salvador","2017","Constant fertility","6386.312"
"El Salvador","2017","Instant replacement","6381.253"
"El Salvador","2017","Zero migration","6466.053"
"El Salvador","2017","Constant mortality","6373.217"
"El Salvador","2017","No change","6381.972"
"El Salvador","2017","Momentum","6446.702"
"Equatorial Guinea","2017","Medium","1267.689"
"Equatorial Guinea","2017","High","1270.600"
"Equatorial Guinea","2017","Low","1264.687"
"Equatorial Guinea","2017","Constant fertility","1272.034"
"Equatorial Guinea","2017","Instant replacement","1237.935"
"Equatorial Guinea","2017","Zero migration","1231.594"
"Equatorial Guinea","2017","Constant mortality","1266.717"
"Equatorial Guinea","2017","No change","1271.085"
"Equatorial Guinea","2017","Momentum","1210.007"
"Eritrea","2017","Medium","5068.831"
"Eritrea","2017","High","5090.418"
"Eritrea","2017","Low","5062.895"
"Eritrea","2017","Constant fertility","5094.177"
"Eritrea","2017","Instant replacement","4956.406"
"Eritrea","2017","Zero migration","5100.928"
"Eritrea","2017","Constant mortality","5069.570"
"Eritrea","2017","No change","5087.000"
"Eritrea","2017","Momentum","4971.092"
"Estonia","2017","Medium","1309.632"
"Estonia","2017","High","1313.336"
"Estonia","2017","Low","1306.746"
"Estonia","2017","Constant fertility","1309.045"
"Estonia","2017","Instant replacement","1315.435"
"Estonia","2017","Zero migration","1312.099"
"Estonia","2017","Constant mortality","1308.411"
"Estonia","2017","No change","1307.410"
"Estonia","2017","Momentum","1315.594"
